sid,star
597,Armand Assante
598,Mike Dytri
599,Robert John Burke
600,Andie MacDowell
601,Penelope Ann Miller
602,Jason London
603,Holly Hunter
604,Danny Elfman
605,Thomas Ian Nicholas
606,Damian Chapa
607,Tyrin Turner
608,Kate Maberly
609,Jason James Richter
610,Anthony Hopkins
611,D.B. Sweeney
612,Sharon Stone
613,Warwick Davis
614,Angela Bassett
615,Kent McCord
616,Joe Mantegna
617,John D. LeMay
618,Diedrich Bader
619,Charles Grodin
620,Federico Luppi
621,Elias Koteas
622,Gabrielle Anwar
623,Shane McDermott
624,Jason Scott Lee
625,Janet Jackson
626,Tamlyn Tomita
627,Kevin Conroy
628,Ashley Judd
629,Will Smith
630,Leslie Cheung
631,Jesse Bradford
632,Karen Allen
633,Elijah Wood
634,Mark Dacascos
635,Chris Rock
636,Jason Priestley
637,Hiep Thi Le
638,Alan Arkin
639,Michael Crawford
640,Uma Thurman
641,Andrew Lowery
642,Rongguang Yu
643,Otto Sander
644,Rebecca De Mornay
645,Winston Chao
646,Paul Gross
647,Diane Ladd
648,Tatsuo Matsumura
649,Roberto Benigni
650,Darci Kistler
651,Brad Johnson
652,Larry B. Scott
653,Jacob Tierney
654,Jim Carrey
655,Travis Tedford
656,Woody Harrelson
657,Melanie Lynskey
658,Brian O'Halloran
659,Linda Fiorentino
660,Patrick Stewart
661,Lara Flynn Boyle
662,Renée Zellweger
663,Pat Morita
664,Toni Collette
665,Dana Delany
666,Tim Allen
667,Kerry Fox
668,Ralph Fiennes
669,Robert Patrick
670,Jeremy Piven
671,Massimo Troisi
672,Luke Perry
673,Nigel Hawthorne
674,Jeni Courtney
675,Duane Martin
676,G.W. Bailey
677,Sophia Loren
678,Alfre Woodard
679,Jeremy Davies
680,Jack Palance
681,Allen Payne
682,Rupert Everett
683,Chris Elliott
684,Denis Leary
685,Harley Jane Kozak
686,Tim Roth
687,Sean Nelson
688,Kevin Spacey
689,Jennifer Jason Leigh
690,Taylor Nichols
691,Katrin Cartlidge
692,Nikita Mikhalkov
693,Brian Benben
694,Adam Beach
695,Alicia Silverstone
696,Laura Linney
697,Leo Fitzpatrick
698,Antonio Banderas
699,Shannen Doherty
700,Elizabeth Berkley
701,Ice Cube
702,Emma Thompson
703,Leonardo DiCaprio
704,Adam Sandler
705,Karan Ashley
706,Pierce Brosnan
707,Natasha Henstridge
708,Jonny Lee Miller
709,Lori Petty
710,Bill Farmer
711,Sandra Bullock
712,James Cromwell
713,Ron Perlman
714,Mary Steenburgen
715,Liesel Matthews
716,David Caruso
717,Larenz Tate
718,Schuyler Fisk
719,Whitney Houston
720,Heather Matarazzo
721,Hal Scardino
722,Billy Zane
723,Steve Buscemi
724,Clarence Williams III
725,Predrag 'Miki' Manojlovic
726,William Baldwin
727,Julianne Moore
728,Mark Rylance
729,Jimmy Smits
730,Jack Mulcahy
731,Parker Posey
732,Peter Gallagher
733,Sinbad
734,Aida Mohammadkhani
735,Laurel Holloman
736,Sean Young
737,Shar-Ron Corley
738,Patricia Arquette
739,Michael Jordan
740,Neve Campbell
741,William H. Macy
742,Helen Hunt
743,Matthew McConaughey
744,Robin Tunney
745,Luke Wilson
746,Jennifer Tilly
747,Billy Bob Thornton
748,David Thewlis
749,Vince Vaughn
750,Shawn Wayans
751,Philip Baker Hall
752,Tony Shalhoub
753,Jada Pinkett Smith
754,Paul Terry
755,Pauly Shore
756,Gwyneth Paltrow
757,Naveen Andrews
758,Christopher Guest
759,Timothy Spall
760,Mike Judge
761,Pamela Anderson
762,Reese Witherspoon
763,Shaquille O'Neal
764,Kelsey Grammer
765,Edward Burns
766,Geoffrey Rush
767,Michelle Trachtenberg
768,Dennis Miller
769,Vincent Perez
770,Jeffrey Wright
771,Bruce Ramsay
772,Scarlett Johansson
773,Chris O'Donnell
774,Christopher Eccleston
775,Michael J. Pollard
776,Ben Stiller
777,Jerry O'Connell
778,Sarah Jessica Parker
779,Tom Arnold
780,Martin Lawrence
781,Vincent D'Onofrio
782,Greg Kinnear
783,David Schwimmer
784,Theresa Randle
785,Steven Soderbergh
786,Thora Birch
787,Illeana Douglas
788,Matt LeBlanc
789,Mark Wahlberg
790,Casper Van Dien
791,Pam Grier
792,Alex D. Linz
793,Tate Donovan
794,Matt Damon
795,Jennifer Love Hewitt
796,Meg Ryan
797,Matthew Perry
798,Kel Mitchell
799,Robert Carlyle
800,Michael Jai White
801,Nick Sutton
802,Stephen Fry
803,Ben Affleck
804,Djimon Hounsou
805,Mira Sorvino
806,Robin Shou
807,Mel B
808,Jennifer Lopez
809,George Clooney
810,Nathan Lane
811,Chris Farley
812,Trey Parker
813,Vanessa Williams
814,Mohammad Amir Naji
815,Tom Everett Scott
816,Rowan Atkinson
817,Tammy Lauren
818,Howard Stern
819,Jennifer Aniston
820,Samuel L. Jackson
821,Tenzin Thuthob Tsarong
822,Michael Jeter
823,Christina Ricci
824,Jason David Frank
825,Fran Drescher
826,Cameron Diaz
827,Miguel Ferrer
828,Kevin Sorbo
829,John Leguizamo
830,Angus Macfadyen
831,Sophie Marceau
832,Peter Fonda
833,Jared Leto
834,Will Friedle
835,Sam Rockwell
836,Llyr Ifans
837,Christopher McDonald
838,Joseph Mazzello
839,Thomas Jane
840,Marlon Wayans
841,Stephen Dillane
842,David Duchovny
843,Aaron Eckhart
844,Julia Ormond
845,Edward Norton
846,Jordana Brewster
847,Ming-Na Wen
848,Jim Caviezel
849,Tobey Maguire
850,Jason Schwartzman
851,Rufus Sewell
852,Kirsten Dunst
853,Ulrich Thomsen
854,Sean Gullette
855,Jane Adams
856,Cate Blanchett
857,Ryan Phillippe
858,Vincent Gallo
859,James Marsden
860,Dave Chappelle
861,Jeremy Theobald
862,Chris Kattan
863,Jeffrey Falcon
864,Chow Yun-Fat
865,Norm MacDonald
866,Ian McKellen
867,Chloë Sevigny
868,Carlo Cecchi
869,Veronica Taylor
870,Nas
871,Ian Bannen
872,Magda Szubanski
873,Jessalyn Gilsig
874,Ian Michael Smith
875,Gillian Anderson
876,Elizabeth Daily
877,LisaRaye McCoy
878,Catherine McCormack
879,Fernanda Montenegro
880,Billy Crudup
881,Joseph Cross
882,Jay Mohr
883,Kate Winslet
884,Oprah Winfrey
885,Howie Long
886,Natasha Lyonne
887,Kevin Gage
888,George Hearn
889,Paul Walker
890,Joaquin Phoenix
891,Jonathan Taylor Thomas
892,Chris Stafford
893,Jerry Springer
894,Amy Brenneman
895,Jason Biggs
896,Ewan McGregor
897,Heath Ledger
898,Ron Livingston
899,Sarah Michelle Gellar
900,Heather Donahue
901,James Van Der Beek
902,Freddie Prinze Jr.
903,Tony Goldwyn
904,Eli Marienthal
905,Russell Crowe
906,Rob Schneider
907,Hilary Swank
908,Rose McGowan
909,Diane Lane
910,Jake Gyllenhaal
911,Jude Law
912,Sarah Polley
913,Richard Farnsworth
914,Devon Sawa
915,Milla Jovovich
916,Tommy Flanagan
917,Guy Pearce
918,Helen Mirren
919,Craig Bierko
920,Melissa Joan Hart
921,Terence Stamp
922,Juliette Lewis
923,Claire Danes
924,Molly Shannon
925,Taye Diggs
926,Emily Watson
927,Christopher Lloyd
928,James Levine
929,Emily Bergl
930,Charlize Theron
931,Dave Goelz
932,Elayn J. Taylor
933,French Stewart
934,Kevin Clash
935,Annette Bening
936,Shawn Hatosy
937,Takehiro Murata
938,Loren Dean
939,David Spade
940,Alessandro Nivola
941,Hank Azaria
942,Christian Campbell
943,Miranda Richardson
944,Jeremy Northam
945,Ellen Burstyn
946,Anna Faris
947,Piper Perabo
948,Breckin Meyer
949,Ashton Kutcher
950,Radha Mitchell
951,Emily Perkins
952,David Arquette
953,Fred Willard
954,Jamie Bell
955,Emilio Echevarría
956,Björk
957,Giovanni Ribisi
958,Natalie Portman
959,Sanaa Lathan
960,Jonathan Lipnicki
961,Mark Addy
962,Gerard Butler
963,Joshua Jackson
964,Jet Li
965,Amanda Schull
966,Jeffrey Donovan
967,Jean Reno
968,John Malkovich
969,Colin Farrell
970,Shane West
971,Mike White
972,Kirk Cameron
973,Lauren Ambrose
974,Jamie Foxx
975,Brenda Blethyn
976,Jung Suh
977,Jennifer Morrison
978,Penélope Cruz
979,Tim Meadows
980,Joan Allen
